timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-06-28 13:44:07.741927,FRC1,63,59,63,59
2019-06-28 13:59:23.644691,FRC1,63,59,63,59
2019-06-28 14:20:14.158930,FRC1,62,60,62,60
2019-06-28 14:35:19.366950,FRC1,62,60,62,60
2019-06-28 14:50:25.467178,FRC1,62,60,62,60
2019-06-28 15:05:27.208103,FRC1,62,60,62,60
2019-06-28 15:20:29.072759,FRC1,63,59,83,45
2019-06-28 15:35:31.238285,FRC1,63,59,79,47
2019-06-28 15:50:37.683026,FRC1,62,60,62,60
2019-06-28 16:05:39.496885,FRC1,63,59,63,59
2019-06-28 16:20:41.030132,FRC1,63,59,79,47
2019-06-28 16:35:48.139714,FRC1,62,60,62,60
2019-06-28 16:50:49.660104,FRC1,63,59,63,59
2019-06-28 17:05:53.787614,FRC1,62,60,62,60
2019-06-28 17:20:55.335297,FRC1,62,60,62,60
2019-06-28 17:35:57.833926,FRC1,63,59,91,41
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:36:19.871732,FRC1,62,60,62,60
2019-07-02 11:51:21.372834,FRC1,62,60,62,60
2019-07-02 12:06:23.456675,FRC1,62,60,62,60
2019-07-02 12:21:27.351774,FRC1,62,60,62,60
2019-07-02 12:36:28.518165,FRC1,62,60,62,60
2019-07-02 12:51:30.461951,FRC1,63,59,63,59
2019-07-02 13:06:32.619681,FRC1,62,60,62,60
2019-07-02 13:21:37.724554,FRC1,63,59,63,59
2019-07-02 13:36:39.417959,FRC1,62,60,83,45
2019-07-02 13:51:41.009272,FRC1,62,60,62,60
2019-07-02 14:06:42.351059,FRC1,62,60,62,60
2019-07-02 14:21:43.697538,FRC1,63,59,63,59
2019-07-02 14:36:45.228205,FRC1,63,59,63,59
2019-07-02 14:51:46.375044,FRC1,63,59,63,59
2019-07-02 15:06:47.522230,FRC1,63,59,63,59
2019-07-02 15:21:48.857290,FRC1,62,60,62,60
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 11:38:38.414196,FRC1,62,60,79,47
2019-07-02 11:53:42.635256,FRC1,62,60,62,60
2019-07-02 12:08:45.137133,FRC1,62,60,62,60
2019-07-02 12:23:47.719407,FRC1,62,60,62,60
2019-07-02 12:38:49.276306,FRC1,62,60,62,60
2019-07-02 12:53:54.644337,FRC1,63,59,63,59
2019-07-02 13:08:56.859725,FRC1,62,60,62,60
2019-07-02 13:23:58.632400,FRC1,63,59,63,59
2019-07-02 13:39:00.780132,FRC1,62,60,62,60
2019-07-02 13:54:02.410073,FRC1,62,60,62,60
2019-07-02 14:09:03.890896,FRC1,62,60,62,60
2019-07-02 14:24:05.215883,FRC1,63,59,63,59
2019-07-02 14:39:06.631676,FRC1,63,59,63,59
2019-07-02 14:54:07.862166,FRC1,63,59,63,59
2019-07-02 15:09:09.226332,FRC1,63,59,63,59
2019-07-02 15:24:11.415633,FRC1,62,60,62,60
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 12:50:35.986075,FRC1,63,59,63,59
2019-07-02 13:05:37.473369,FRC1,62,60,62,60
2019-07-02 13:20:39.360502,FRC1,63,59,63,59
2019-07-02 13:35:43.148157,FRC1,62,60,83,45
2019-07-02 13:50:46.417345,FRC1,62,60,62,60
2019-07-02 14:05:50.637876,FRC1,62,60,62,60
2019-07-02 14:20:52.168021,FRC1,63,59,63,59
2019-07-02 14:35:54.754253,FRC1,63,59,63,59
2019-07-02 14:50:57.202155,FRC1,63,59,63,59
2019-07-02 15:05:59.312466,FRC1,63,59,63,59
2019-07-02 15:21:02.671777,FRC1,62,60,62,60
2019-07-02 15:36:04.435222,FRC1,62,60,62,60
2019-07-02 15:51:08.293268,FRC1,62,60,62,60
2019-07-02 16:06:09.574605,FRC1,62,60,62,60
2019-07-02 16:21:11.052329,FRC1,62,60,87,43
2019-07-02 16:36:13.423692,FRC1,62,60,62,60
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:50.858186,FRC1,62,60,62,60
2019-07-02 15:45:52.375878,FRC1,62,60,62,60
2019-07-02 16:00:54.156175,FRC1,63,59,63,59
2019-07-02 16:15:56.682205,FRC1,62,60,62,60
2019-07-02 16:30:59.144016,FRC1,62,60,62,60
2019-07-02 16:46:01.252663,FRC1,63,59,89,42
2019-07-02 17:01:03.628081,FRC1,63,59,63,59
2019-07-02 17:16:05.986409,FRC1,62,60,79,47
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:30:56.185274,FRC1,62,60,62,60
2019-07-02 15:45:57.915500,FRC1,62,60,62,60
2019-07-02 16:00:59.072554,FRC1,63,59,63,59
2019-07-02 16:16:00.777667,FRC1,62,60,62,60
2019-07-02 16:31:01.959252,FRC1,62,60,62,60
2019-07-02 16:46:03.460190,FRC1,63,59,89,42
2019-07-02 17:01:04.755727,FRC1,63,59,63,59
2019-07-02 17:16:06.275368,FRC1,62,60,79,47
timestamp,Road Type,Free Flow Time(seconds),Free Flow Speed(KMPH),Current Time(seconds),Current Speed(KMPH)
2019-07-02 15:31:13.183499,FRC1,62,60,62,60
2019-07-02 15:46:14.826027,FRC1,62,60,62,60
2019-07-02 16:01:16.548293,FRC1,63,59,63,59
2019-07-02 16:16:17.900586,FRC1,62,60,62,60
2019-07-02 16:31:19.194092,FRC1,62,60,62,60
2019-07-02 16:46:20.744672,FRC1,63,59,89,42
2019-07-02 17:01:21.970290,FRC1,63,59,63,59
2019-07-02 17:16:27.999803,FRC1,62,60,79,47
